territory,company,city,state,zip,current_rep,rep_tier,orders,net_sales,last_order,first_order,status,tier
Dallas (DFW),RX MD Solutions,Plano,TX,75024,Jamie Bergeron,Existing,7,13440.0,2026-04-24,2024-10-17,CLAIMED (stays w/ rep),1
Dallas (DFW),Sara Greer,Southlake,TX,76092,Jamie Bergeron,Existing,5,12960.0,2026-06-04,2025-09-11,CLAIMED (stays w/ rep),1
Dallas (DFW),Arlington Center for Dermatology,Arlington,TX,76011,Jamie Bergeron,Existing,2,12663.0,2026-02-18,2025-10-24,CLAIMED (stays w/ rep),1
Dallas (DFW),Body Lounge,Dallas,TX,75205,Jamie Bergeron,Existing,7,11643.75,2026-03-12,2024-09-10,CLAIMED (stays w/ rep),1
Dallas (DFW),SkinRX,Southlake,TX,76092,Jamie Bergeron,Existing,7,11643.75,2026-03-12,2025-06-12,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Associated Dermatologists Preston Royal (N. Dallas),Dallas,TX,75230,Julie Fetter,Existing,6,10125.0,2025-12-29,2025-06-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Associated Dermatologists-Preston Royal 2,Dallas,TX,75230,Jamie Bergeron,Existing,6,10125.0,2026-05-26,2025-04-21,CLAIMED (stays w/ rep),1
Dallas (DFW),It's a Secret Med Spa,Irving,TX,75062,Jamie Bergeron,Existing,3,10125.0,2026-04-13,2025-11-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Platinum Dermatology Partners,Southlake,TX,76092,Jamie Bergeron,Existing,6,10125.0,2026-03-16,2025-08-28,CLAIMED (stays w/ rep),1
Dallas (DFW),Signature Dermatology & Aesthetics-Grapevine,Grapevine,TX,76051,Jamie Bergeron,Existing,5,10125.0,2026-02-20,2025-02-13,CLAIMED (stays w/ rep),1
Dallas (DFW),DermaLuxe Essentials at McGuiness Dermatology & Plastic Surgery,Plano,TX,75024,Jamie Bergeron,Existing,6,10068.75,2026-06-05,2025-09-12,CLAIMED (stays w/ rep),1
Dallas (DFW),North Texas Plastic Surgery,Southlake,TX,76092,Jamie Bergeron,Existing,4,9765.0,2026-06-16,2026-03-06,CLAIMED (stays w/ rep),1
Dallas (DFW),Plano Womens Healthcare,Plano,TX,75075,Jamie Bergeron,Existing,5,9625.5,2026-02-19,2025-04-18,CLAIMED (stays w/ rep),1
Dallas (DFW),Mindful Dermatology,Dallas,TX,75231,Jamie Bergeron,Existing,3,9405.0,2026-04-22,2026-03-10,CLAIMED (stays w/ rep),1
Dallas (DFW),Beautiful Aesthetics,Frisco,TX,75036,Jamie Bergeron,Existing,6,9138.75,2026-03-24,2025-06-09,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology Associates of Uptown Cedar Hill,Cedar Hill,TX,75104,Jamie Bergeron,Existing,5,8437.5,2026-03-26,2025-01-15,CLAIMED (stays w/ rep),1
Dallas (DFW),United Dermatology,Mansfield,TX,76063,Jamie Bergeron,Existing,5,8437.5,2026-05-14,2025-02-11,CLAIMED (stays w/ rep),1
Dallas (DFW),US Derm Partners,Dallas,TX,75230,Jamie Bergeron,Existing,3,8437.5,2026-04-27,2025-10-15,CLAIMED (stays w/ rep),1
Dallas (DFW),Renew Beauty Med Spa,Dallas,TX,75225,Jamie Bergeron,Existing,4,8310.0,2026-05-27,2026-02-09,CLAIMED (stays w/ rep),1
Dallas (DFW),SkinWerx,Arlington,TX,76001,Jamie Bergeron,Existing,5,8268.75,2026-06-11,2025-09-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Essential Dermatology,Bedford,TX,76022,Jamie Bergeron,Existing,4,8257.5,2026-05-27,2025-09-18,CLAIMED (stays w/ rep),1
Dallas (DFW),Abbott Aesthetics,Dallas,TX,75209,Jamie Bergeron,Existing,5,7282.5,2026-04-15,2024-11-12,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology & Skin Cancer Center,Waxahachie,TX,75165,Jamie Bergeron,Existing,5,6900.0,2026-04-16,2025-08-20,CLAIMED (stays w/ rep),1
Dallas (DFW),Freckled Skin Studio,Rockwall,TX,75087,Jamie Bergeron,Existing,5,6802.5,2026-04-28,2026-02-26,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology & Skin Surgery Institute,Frisco,TX,75034,Jamie Bergeron,Existing,4,6750.0,2026-04-03,2025-02-04,CLAIMED (stays w/ rep),1
Dallas (DFW),Facial Cosmetic and Wellness Center,Weatherford,TX,76086,Jamie Bergeron,Existing,4,6750.0,2026-04-07,2025-06-03,CLAIMED (stays w/ rep),1
Dallas (DFW),North Texas Plastic and Reconstructive Surgery,Allen,TX,75013,Julie Fetter,Existing,4,6581.25,2026-02-03,2025-04-15,CLAIMED (stays w/ rep),1
Dallas (DFW),Youthful Magnolia,Fort Worth,TX,76104,Jamie Bergeron,Existing,4,6581.25,2026-03-18,2025-09-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Skinfinity,Dallas,TX,75209,Jamie Bergeron,Existing,4,6496.87,2026-05-21,2024-10-20,CLAIMED (stays w/ rep),1
Dallas (DFW),Natalie Barton MD,Dallas,TX,75231,Jamie Bergeron,Existing,2,6390.0,2026-02-23,2025-10-10,CLAIMED (stays w/ rep),1
Dallas (DFW),Original Skin DFW,Plano,TX,75093,Jamie Bergeron,Existing,5,6082.5,2026-06-16,2025-07-14,CLAIMED (stays w/ rep),1
Dallas (DFW),Bare Aesthetics Dallas,Dallas,TX,75219,Julie Fetter,Existing,2,6070.5,2026-01-12,2025-07-01,CLAIMED (stays w/ rep),1
Dallas (DFW),LV Skin Aesthetics,Frisco,TX,75035,Jamie Bergeron,Existing,4,5763.75,2026-03-04,2025-04-25,CLAIMED (stays w/ rep),1
Dallas (DFW),Regenerative Skincare,McKinney,TX,75070,Jamie Bergeron,Existing,4,5763.75,2026-06-09,2026-02-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Renew Beauty Med Spa,Frisco,TX,75034,Jamie Bergeron,Existing,3,5752.5,2026-05-20,2026-02-27,CLAIMED (stays w/ rep),1
Dallas (DFW),Revived Aesthetics,Plano,TX,75093,Jamie Bergeron,Existing,3,5595.0,2026-06-15,2025-04-26,CLAIMED (stays w/ rep),1
Dallas (DFW),Fine Line Aesthetics,Frisco,TX,75034,Jamie Bergeron,Existing,3,5437.5,2026-04-06,2026-02-25,CLAIMED (stays w/ rep),1
Dallas (DFW),Dee Martinez MD,Dallas,TX,75224,Jamie Bergeron,Existing,3,5062.5,2026-06-10,2024-09-16,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology & Skin Cancer Center,McKinney,TX,75071,Julie Fetter,Existing,3,5062.5,2025-06-10,2025-03-04,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology & Skin Cancer Center,Denton,TX,76210,Jamie Bergeron,Existing,3,5062.5,2026-03-04,2024-11-21,CLAIMED (stays w/ rep),1
Dallas (DFW),Innovative Dermatology,Plano,TX,75025,Julie Fetter,Existing,3,5062.5,2025-12-19,2025-02-20,CLAIMED (stays w/ rep),1
Dallas (DFW),Intentional Dermatology,Dallas,TX,75240,Jamie Bergeron,Existing,3,5062.5,2026-06-02,2025-07-28,CLAIMED (stays w/ rep),1
Dallas (DFW),Molly Warthan MD PLLC,Fort Worth,TX,76109,Jamie Bergeron,Existing,3,5062.5,2026-05-26,2025-12-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Tarrant Plastic Surgery,Keller,TX,76248,Jamie Bergeron,Existing,3,5062.5,2026-06-02,2025-09-29,CLAIMED (stays w/ rep),1
Dallas (DFW),Spa in the City,Dallas,TX,75209,Julie Fetter,Existing,3,4893.75,2026-01-12,2024-09-06,CLAIMED (stays w/ rep),1
Dallas (DFW),The Brow Shaping Queen,Frisco,TX,75034,Jamie Bergeron,Existing,3,4893.75,2026-03-10,2025-02-27,CLAIMED (stays w/ rep),1
Dallas (DFW),Cernero Surgery,Denison,TX,75020,Julie Fetter,Existing,2,4882.5,2025-11-18,2025-10-07,CLAIMED (stays w/ rep),1
Dallas (DFW),Greer Dermatology,Southlake,TX,76092,Jamie Bergeron,Existing,3,4882.5,2026-02-05,2025-07-09,CLAIMED (stays w/ rep),1
Dallas (DFW),Legacy OB/GYN,Frisco,TX,75034,Jamie Bergeron,Existing,2,4882.5,2026-04-15,2025-12-17,CLAIMED (stays w/ rep),1
Dallas (DFW),Refreshingly New,Waxahachie,TX,75165,Jamie Bergeron,Existing,2,4882.5,2026-04-10,2026-02-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Eleven Wellness,Dallas,TX,75225,Julie Fetter,Existing,3,4809.37,2025-08-04,2024-12-05,CLAIMED (stays w/ rep),1
Dallas (DFW),DermaLuxe Essentials at McGuiness Dermatology & Plastic Surgery,Prosper,TX,75078,Jamie Bergeron,Existing,3,4803.75,2026-03-27,2025-09-24,CLAIMED (stays w/ rep),1
Dallas (DFW),Frisco Body Contouring,Frisco,TX,75034,Jamie Bergeron,Existing,3,4245.0,2026-06-16,2026-01-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Skyn Lab,Dallas,TX,75248,Jamie Bergeron,Existing,3,3750.0,2026-04-07,2025-12-10,CLAIMED (stays w/ rep),1
Dallas (DFW),It's a Secret Med Spa,Dallas,TX,75204,Jamie Bergeron,Existing,3,3597.0,2026-06-08,2026-01-06,CLAIMED (stays w/ rep),1
Dallas (DFW),The Pearl Med Spa,Coppell,TX,75019,Jamie Bergeron,Existing,3,3525.0,2026-05-15,2026-03-17,CLAIMED (stays w/ rep),1
Dallas (DFW),Bayside Dermatology,Granbury,TX,76048,Jamie Bergeron,Existing,2,3375.0,2026-03-09,2025-02-18,CLAIMED (stays w/ rep),1
Dallas (DFW),Belle Visage Medical Aesthetics,Burleson,TX,76028,Jamie Bergeron,Existing,2,3375.0,2026-05-19,2026-01-16,CLAIMED (stays w/ rep),1
Dallas (DFW),DALLAS ASSOCIATED DERMATOLOGISTS - PRESTON ROYAL 2,Dallas,TX,75230,Jamie Bergeron,Existing,2,3375.0,2026-02-27,2025-12-29,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Associated Dermatologists Preston Royal 2,Dallas,TX,75230,Julie Fetter,Existing,2,3375.0,2025-12-01,2025-06-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Associated Dermatologists-Las Colinas,Irving,TX,75039,Julie Fetter,Existing,2,3375.0,2025-09-08,2025-04-21,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Associated Dermatology,Plano,TX,75024,Julie Fetter,Existing,1,3375.0,2024-11-19,2024-11-19,CLAIMED (stays w/ rep),1
Dallas (DFW),Eleven Wellness,Dallas,TX,75231,Jamie Bergeron,Existing,2,3375.0,2026-06-02,2025-11-04,CLAIMED (stays w/ rep),1
Dallas (DFW),Epiphany Dermatology,Coppell,TX,75019,Jamie Bergeron,Existing,2,3375.0,2026-06-16,2025-09-25,CLAIMED (stays w/ rep),1
Dallas (DFW),Gustovich Dermatology,Frisco,TX,75033,Jamie Bergeron,Existing,2,3375.0,2026-03-31,2026-01-13,CLAIMED (stays w/ rep),1
Dallas (DFW),K Dermatology,Richardson,TX,75080,Jamie Bergeron,Existing,2,3375.0,2026-06-08,2026-03-18,CLAIMED (stays w/ rep),1
Dallas (DFW),KAMcare Health and Wellness,Plano,TX,75024,Julie Fetter,Existing,2,3375.0,2025-07-14,2025-01-27,CLAIMED (stays w/ rep),1
Dallas (DFW),Serenity Gynecology,Grapevine,TX,76051,Jamie Bergeron,Existing,2,3375.0,2026-05-27,2025-12-04,CLAIMED (stays w/ rep),1
Dallas (DFW),The Skin Trend,Plano,TX,75075,Jamie Bergeron,Existing,2,3375.0,2026-03-11,2025-11-03,CLAIMED (stays w/ rep),1
Dallas (DFW),Skin Elite,Bedford,TX,76021,Jamie Bergeron,Existing,1,3307.5,2026-03-23,2026-03-23,CLAIMED (stays w/ rep),1
Dallas (DFW),Avia Medical Spa,Carrollton,TX,75010,Jamie Bergeron,Existing,2,3206.25,2026-03-10,2025-09-15,CLAIMED (stays w/ rep),1
Dallas (DFW),Issil Beauty Spa,Frisco,TX,75035,Julie Fetter,Existing,2,3206.25,2026-01-21,2025-07-09,CLAIMED (stays w/ rep),1
Dallas (DFW),Midtowne Wellness & Aesthetics,Ovilla,TX,75154,Jamie Bergeron,Existing,2,3206.25,2026-04-17,2025-12-15,CLAIMED (stays w/ rep),1
Dallas (DFW),Miss Esthetics,McKinney,TX,75070,Julie Fetter,Existing,2,3206.25,2026-02-03,2025-11-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Monarch Dermatology,Fort Worth,TX,76244,Julie Fetter,Existing,2,3206.25,2025-10-31,2025-05-12,CLAIMED (stays w/ rep),1
Dallas (DFW),Tarrant Plastic Surgery,Fort Worth,TX,76104,Jamie Bergeron,Existing,2,3206.25,2026-05-29,2025-12-15,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology Center of McKinney,McKinney,TX,75071,Julie Fetter,Existing,1,3195.0,2024-12-05,2024-12-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Plano Women's Healthcare,Plano,TX,75075,Jamie Bergeron,Existing,1,3195.0,2026-04-22,2026-04-22,CLAIMED (stays w/ rep),1
Dallas (DFW),"Skin Damsel, LLC",Dallas,TX,75244,Julie Fetter,Existing,1,3195.0,2026-02-03,2026-02-03,CLAIMED (stays w/ rep),1
Dallas (DFW),McGuiness Dermatology & Plastic Surgery-Flower Mound,Flower Mound,TX,75028,Jamie Bergeron,Existing,2,3116.25,2026-03-27,2025-11-04,CLAIMED (stays w/ rep),1
Dallas (DFW),Haute Beauty Aesthetics,Allen,TX,75013,Julie Fetter,Existing,2,3037.5,2025-09-30,2025-05-22,CLAIMED (stays w/ rep),1
Dallas (DFW),MySkinCare LLC,McKinney,TX,75071,Jamie Bergeron,Existing,1,2707.5,2026-03-04,2026-03-04,CLAIMED (stays w/ rep),1
Dallas (DFW),Preparations Skin Spa,Richardson,TX,75080,Jamie Bergeron,Existing,2,2538.75,2026-06-11,2025-12-16,CLAIMED (stays w/ rep),1
Dallas (DFW),It's a Secret Med Spa,Frisco,TX,75034,Jamie Bergeron,Existing,2,2247.0,2026-06-08,2026-06-03,CLAIMED (stays w/ rep),1
Dallas (DFW),It's a Secret Med Spa,Fort Worth,TX,76107,Jamie Bergeron,Existing,2,2247.0,2026-06-03,2026-03-31,CLAIMED (stays w/ rep),1
Dallas (DFW),It's a Secret Med Spa,Fort Worth,TX,76244,Jamie Bergeron,Existing,2,2247.0,2026-06-03,2026-03-31,CLAIMED (stays w/ rep),1
Dallas (DFW),Rebel Institute of Health,Frisco,TX,75034,Jamie Bergeron,Existing,1,2062.5,2026-03-02,2026-03-02,CLAIMED (stays w/ rep),1
Dallas (DFW),11:11 Aesthetics & Wellness,Grand Prairie,TX,75054,Jamie Bergeron,Existing,1,1837.5,2026-04-01,2026-04-01,CLAIMED (stays w/ rep),1
Dallas (DFW),Dermatology & Skin Cancer Center,Allen,TX,75013,Jamie Bergeron,Existing,2,1837.5,2026-04-16,2025-12-17,CLAIMED (stays w/ rep),1
Dallas (DFW),FAC Aesthetics,Argyle,TX,76226,Jamie Bergeron,Existing,1,1837.5,2026-03-26,2026-03-26,CLAIMED (stays w/ rep),1
Dallas (DFW),MVI Solutions,Gainesville,TX,76240,Jamie Bergeron,Existing,1,1837.5,2026-04-20,2026-04-20,CLAIMED (stays w/ rep),1
Dallas (DFW),Restoration Dermatology,Frisco,TX,75033,Jamie Bergeron,Existing,1,1837.5,2026-06-08,2026-06-08,CLAIMED (stays w/ rep),1
Dallas (DFW),Zerrudo Injectables Academy,McKinney,TX,75072,Jamie Bergeron,Existing,2,1837.5,2026-05-18,2026-05-15,CLAIMED (stays w/ rep),1
Dallas (DFW),(no company),McKinney,TX,75071,Julie Fetter,Existing,1,1687.5,2025-08-04,2025-08-04,CLAIMED (stays w/ rep),1
Dallas (DFW),4Ever Young,Flower Mound,TX,75022,Julie Fetter,Existing,1,1687.5,2024-11-22,2024-11-22,CLAIMED (stays w/ rep),1
Dallas (DFW),Aya Medspa,Dallas,TX,75205,Julie Fetter,Existing,1,1687.5,2025-12-16,2025-12-16,CLAIMED (stays w/ rep),1
Dallas (DFW),Bare Dermatology,Rockwall,TX,75032,Julie Fetter,Existing,1,1687.5,2025-02-27,2025-02-27,CLAIMED (stays w/ rep),1
Dallas (DFW),Buying Time,Fort Worth,TX,76111,Julie Fetter,Existing,1,1687.5,2025-12-11,2025-12-11,CLAIMED (stays w/ rep),1
Dallas (DFW),Charleston House Gynecology,Dallas,TX,75204,Jamie Bergeron,Existing,1,1687.5,2026-04-20,2026-04-20,CLAIMED (stays w/ rep),1
Dallas (DFW),Constantine Plastic Surgery,Dallas,TX,75231,Julie Fetter,Existing,1,1687.5,2024-10-11,2024-10-11,CLAIMED (stays w/ rep),1
Dallas (DFW),Dallas Associated Dermatologists,Dallas,TX,75230,Julie Fetter,Existing,1,1687.5,2025-03-17,2025-03-17,CLAIMED (stays w/ rep),1
Dallas (DFW),Dauwe Plastic Surgery,Dallas,TX,75230,Jamie Bergeron,Existing,1,1687.5,2026-02-05,2026-02-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Destiny Drip Bar,Southlake,TX,76092,Jamie Bergeron,Existing,1,1687.5,2026-04-08,2026-04-08,CLAIMED (stays w/ rep),1
Dallas (DFW),DLS Aesthetics by Doretta,Dallas,TX,75230,Julie Fetter,Existing,1,1687.5,2024-09-13,2024-09-13,CLAIMED (stays w/ rep),1
Dallas (DFW),Ederra Zara,Richland Hills,TX,76118,Julie Fetter,Existing,1,1687.5,2025-12-15,2025-12-15,CLAIMED (stays w/ rep),1
Dallas (DFW),EpiCentre Skin Care & Laser Center,Dallas,TX,75231,Jamie Bergeron,Existing,1,1687.5,2026-04-08,2026-04-08,CLAIMED (stays w/ rep),1
Dallas (DFW),Epiphany Dermatology,Southlake,TX,76092,Julie Fetter,Existing,1,1687.5,2025-09-25,2025-09-25,CLAIMED (stays w/ rep),1
Dallas (DFW),EverBeam Aesthetics,Addison,TX,75001,Julie Fetter,Existing,1,1687.5,2025-11-19,2025-11-19,CLAIMED (stays w/ rep),1
Dallas (DFW),EverOak Dermatology & Aesthetics Center,Celina,TX,75009,Jamie Bergeron,Existing,1,1687.5,2026-05-12,2026-05-12,CLAIMED (stays w/ rep),1
Dallas (DFW),EverOak Dermatology & Aesthetics Center,The Colony,TX,75056,Jamie Bergeron,Existing,1,1687.5,2026-02-04,2026-02-04,CLAIMED (stays w/ rep),1
Dallas (DFW),For Your Skin,Rockwall,TX,75087,Jamie Bergeron,Existing,1,1687.5,2026-06-15,2026-06-15,CLAIMED (stays w/ rep),1
Dallas (DFW),Haus of Wellness,Bartonville,TX,76226,Julie Fetter,Existing,1,1687.5,2025-10-24,2025-10-24,CLAIMED (stays w/ rep),1
Dallas (DFW),Hayes Clinic & Spa,Paris,TX,75460,Jamie Bergeron,Existing,1,1687.5,2026-06-05,2026-06-05,CLAIMED (stays w/ rep),1
Dallas (DFW),Kairos Aesthetic Medicine,Irving,TX,75063,Jamie Bergeron,Existing,1,1687.5,2026-06-15,2026-06-15,CLAIMED (stays w/ rep),1
Dallas (DFW),KAYO Aesthetics,Fort Worth,TX,76109,Jamie Bergeron,Existing,1,1687.5,2026-03-20,2026-03-20,CLAIMED (stays w/ rep),1
Dallas (DFW),Laser Bar,Dallas,TX,75208,Julie Fetter,Existing,1,1687.5,2024-10-22,2024-10-22,CLAIMED (stays w/ rep),1
Dallas (DFW),Le Monet Med Spa,Lucas,TX,75002,Julie Fetter,Existing,1,1687.5,2025-04-26,2025-04-26,CLAIMED (stays w/ rep),1
Dallas (DFW),Preferred Dermatology,Greenville,TX,75401,Jamie Bergeron,Existing,1,1687.5,2026-03-02,2026-03-02,CLAIMED (stays w/ rep),1
Dallas (DFW),Signature Dermatology & Aesthetics-Rockwall,Rockwall,TX,75032,Jamie Bergeron,Existing,1,1687.5,2026-05-22,2026-05-22,CLAIMED (stays w/ rep),1
Dallas (DFW),"Syringe Aesthetics, LLC",Dallas,TX,75218,Jamie Bergeron,Existing,1,1687.5,2026-02-13,2026-02-13,CLAIMED (stays w/ rep),1
Dallas (DFW),The Filling Station,Denton,TX,76210,Jamie Bergeron,Existing,1,1687.5,2026-03-02,2026-03-02,CLAIMED (stays w/ rep),1
Dallas (DFW),Ultimate Skin Source,Dallas,TX,75231,Julie Fetter,Existing,1,1687.5,2025-02-10,2025-02-10,CLAIMED (stays w/ rep),1
Dallas (DFW),Vibrant Life Mobile Aesthetics and Wellness,Glenn Heights,TX,75154,Julie Fetter,Existing,1,1687.5,2025-11-18,2025-11-18,CLAIMED (stays w/ rep),1
